;;;;;;;;;;;
ROTEIRO DE HOMOLOGAÇÃO SAJ5 - SAJMP | SAJADM | SAJWEB;;;;;HOJE:;23/07/2026;;FUNCIONANDO;318;17%;
1419;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar recebimento de intimação de Processo através da tela de Carga ;;FABRICIO;ITEM DESABILITADO;;;;
1420;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar recebimento de intimação de Processo através da Pasta Digital do TJ;;FABRICIO;ITEM DESABILITADO;;;;
1421;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar recebimento de intimação de Processo através de Atividade do Fluxo de Trabalho;;FABRICIO;ITEM DESABILITADO;;;;
1422;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar recebimento de intimação de Processo através  de um Peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1423;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Efetuar o recebimento de mais de um ato para o mesmo processo;;FABRICIO;ITEM DESABILITADO;;;;
1424;INTEGRAÇÃO;Integração - SAJ;Processo de 2º grau;Acessar a Pasta Digital do TJ de um dos cadastros importados;;FABRICIO;ITEM DESABILITADO;;;;
1425;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Pasta MP;Efetuar Petição Inicial;;FABRICIO;ITEM DESABILITADO;;;;
1426;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Pasta MP;Efetuar Petição Intermediária;;FABRICIO;ITEM DESABILITADO;;;;
1427;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Pasta MP;Efetuar Petição Diversa;;FABRICIO;ITEM DESABILITADO;;;;
1428;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Pasta MP;Efetuar peticionamento finalizando apenas UMA pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1429;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Pasta MP;Efetuar peticionamento finalizando DUAS ou TODAS as pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1430;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando somente Processos;;FABRICIO;ITEM DESABILITADO;;;;
1431;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando Processos e ao menos um cadastro de Extrajudicial ;;FABRICIO;ITEM DESABILITADO;;;;
1432;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Editor;Efetuar Petição pelo Editor de Textos (Finalizar, Assinar e Peticionar);;FABRICIO;ITEM DESABILITADO;;;;
1433;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Outras opções;Verificar abertura da Pasta Digital do MP para seleção de documento (1 e 2 Monitores);;FABRICIO;ITEM DESABILITADO;;;;
1434;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Outras opções;Minimizar/Maximizar Pasta Digital aberta através da tela de Peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1435;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Outras opções;Inserir documentos na tela de Petição aberta pela Pasta Digital (Com a Pasta Digital aberta, selecionar um documento e clicar em Peticionar. Com a tela de Petição aberta, clicar no botão + para selecionar mais um documento. Deve abrir uma nova tela da Pasta Digital para seleção de mais documento. Ao clicar em selecionar fecha automaticamente essa segunda tela, mantendo a tela inicial aberta);;FABRICIO;ITEM DESABILITADO;;;;
1436;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 1º grau - Outras opções;Efetuar peticionamento utilizando mídia;;FABRICIO;ITEM DESABILITADO;;;;
1437;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Pasta MP;Efetuar Petição Inicial;;FABRICIO;ITEM DESABILITADO;;;;
1438;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Pasta MP;Efetuar Petição Intermediária;;FABRICIO;ITEM DESABILITADO;;;;
1439;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Pasta MP;Efetuar Petição Diversa;;FABRICIO;ITEM DESABILITADO;;;;
1440;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Pasta MP;Efetuar peticionamento finalizando apenas UMA pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1441;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Pasta MP;Efetuar peticionamento finalizando DUAS ou TODAS as pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1442;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando somente Processos;;FABRICIO;ITEM DESABILITADO;;;;
1443;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando Processos e ao menos um cadastro de Extrajudicial ;;FABRICIO;ITEM DESABILITADO;;;;
1444;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Editor;Efetuar Petição pelo Editor de Textos (Finalizar, Assinar e Peticionar);;FABRICIO;ITEM DESABILITADO;;;;
1445;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Outras opções;Verificar abertura da Pasta Digital do MP para seleção de documento (1 e 2 Monitores);;FABRICIO;ITEM DESABILITADO;;;;
1446;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Outras opções;Minimizar/Maximizar Pasta Digital aberta através da tela de Peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1447;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Outras opções;Inserir documentos na tela de Petição aberta pela Pasta Digital (Com a Pasta Digital aberta, selecionar um documento e clicar em Peticionar. Com a tela de Petição aberta, clicar no botão + para selecionar mais um documento. Deve abrir uma nova tela da Pasta Digital para seleção de mais documento. Ao clicar em selecionar fecha automaticamente essa segunda tela, mantendo a tela inicial aberta);;FABRICIO;ITEM DESABILITADO;;;;
1448;INTEGRAÇÃO;Integração - SAJ;Peticionamento de 2º grau - Outras opções;Efetuar peticionamento utilizando mídia;;FABRICIO;ITEM DESABILITADO;;;;
1449;INTEGRAÇÃO;Integração - STJ;Peticionamento ;Efetuar peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1450;INTEGRAÇÃO;Integração - STJ;Peticionamento - Pasta MP;Efetuar Petição Inicial;;FABRICIO;ITEM DESABILITADO;;;;
1451;INTEGRAÇÃO;Integração - STJ;Peticionamento - Pasta MP;Efetuar Petição Intermediária;;FABRICIO;ITEM DESABILITADO;;;;
1452;INTEGRAÇÃO;Integração - STJ;Peticionamento - Pasta MP;Efetuar Petição Diversa;;FABRICIO;ITEM DESABILITADO;;;;
1453;INTEGRAÇÃO;Integração - STJ;Peticionamento - Pasta MP;Efetuar peticionamento finalizando apenas UMA pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1454;INTEGRAÇÃO;Integração - STJ;Peticionamento - Pasta MP;Efetuar peticionamento finalizando DUAS ou TODAS as pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1455;INTEGRAÇÃO;Integração - STJ;Peticionamento - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando somente Processos;;FABRICIO;ITEM DESABILITADO;;;;
1456;INTEGRAÇÃO;Integração - STJ;Peticionamento - Gerenciador de Arquivos;Efetuar Peticionamento em Lote selecionando Processos e ao menos um cadastro de Extrajudicial ;;FABRICIO;ITEM DESABILITADO;;;;
1457;INTEGRAÇÃO;Integração - STJ;Peticionamento - Editor;Efetuar Petição pelo Editor de Textos (Finalizar, Assinar e Peticionar);;FABRICIO;ITEM DESABILITADO;;;;
1458;INTEGRAÇÃO;Integração - STJ;Peticionamento - Outras opções;Verificar abertura da Pasta Digital do MP para seleção de documento (1 e 2 Monitores);;FABRICIO;ITEM DESABILITADO;;;;
1459;INTEGRAÇÃO;Integração - STJ;Peticionamento - Outras opções;Minimizar/Maximizar Pasta Digital aberta através da tela de Peticionamento;;FABRICIO;ITEM DESABILITADO;;;;
1460;INTEGRAÇÃO;Integração - STJ;Peticionamento - Outras opções;Inserir documentos na tela de Petição aberta pela Pasta Digital (Com a Pasta Digital aberta, selecionar um documento e clicar em Peticionar. Com a tela de Petição aberta, clicar no botão + para selecionar mais um documento. Deve abrir uma nova tela da Pasta Digital para seleção de mais documento. Ao clicar em selecionar fecha automaticamente essa segunda tela, mantendo a tela inicial aberta);;FABRICIO;ITEM DESABILITADO;;;;
1461;INTEGRAÇÃO;Integração - STJ;Peticionamento - Outras opções;Efetuar peticionamento utilizando mídia;;FABRICIO;ITEM DESABILITADO;;;;
1462;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1463;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento manual de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1464;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Receber intimação);;FABRICIO;ITEM DESABILITADO;;;;
1465;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Pela atividade de Ciência) deve receber a intimação e peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1466;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso atrvés do peticionamento de processo com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1467;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso atrvés do peticionamento em lote de processos com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1468;INTEGRAÇÃO;Integração - STJ;Recebimento;Acessar a Pasta Digital do TJ do cadastro importado (lembrando que deve abrir a Pasta Digital do TJ para MNI);;FABRICIO;ITEM DESABILITADO;;;;
1469;INTEGRAÇÃO;Integração - STJ;Recebimento;Verificar encerramento da pendência de intimação e lançamento da pendência de manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1470;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1471;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento manual de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1472;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Receber intimação);;FABRICIO;ITEM DESABILITADO;;;;
1473;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Pela atividade de Ciência) deve receber a intimação e peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1474;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso atrvés do peticionamento de processo com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1475;INTEGRAÇÃO;Integração - STJ;Recebimento;Efetuar recebimento de Aviso atrvés do peticionamento em lote de processos com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1476;INTEGRAÇÃO;Integração - STJ;Recebimento;Acessar a Pasta Digital do TJ do cadastro importado (lembrando que deve abrir a Pasta Digital do TJ para MNI);;FABRICIO;ITEM DESABILITADO;;;;
1477;INTEGRAÇÃO;Integração - STJ;Recebimento;Verificar encerramento da pendência de intimação e lançamento da pendência de manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1478;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1479;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento manual de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1480;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Receber intimação);;FABRICIO;ITEM DESABILITADO;;;;
1481;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Pela atividade de Ciência) deve receber a intimação e peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1482;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento de Aviso atrvés do peticionamento de processo com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1483;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Efetuar recebimento de Aviso atrvés do peticionamento em lote de processos com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1484;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Acessar a Pasta Digital do TJ do cadastro importado (lembrando que deve abrir a Pasta Digital do TJ para MNI);;FABRICIO;ITEM DESABILITADO;;;;
1485;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 1º grau;Verificar encerramento da pendência de intimação e lançamento da pendência de manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1486;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1487;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento manual de Aviso pela tela de Status da Importação;;FABRICIO;ITEM DESABILITADO;;;;
1488;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Receber intimação);;FABRICIO;ITEM DESABILITADO;;;;
1489;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento de Aviso pelo Fluxo de Trabalho (Pela atividade de Ciência) deve receber a intimação e peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1490;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento de Aviso atrvés do peticionamento de processo com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1491;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Efetuar recebimento de Aviso atrvés do peticionamento em lote de processos com aviso pendente de recebimento;;FABRICIO;ITEM DESABILITADO;;;;
1492;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Acessar a Pasta Digital do TJ do cadastro importado (lembrando que deve abrir a Pasta Digital do TJ para MNI);;FABRICIO;ITEM DESABILITADO;;;;
1493;INTEGRAÇÃO;Integração - EPROC;Recebimento de avisos - 2º grau;Verificar encerramento da pendência de intimação e lançamento da pendência de manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1494;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Inicial;;FABRICIO;ITEM DESABILITADO;;;;
1495;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Inicial com documento com mais de uma página (Parâmetro 51529 = S) – Será mostrado em um documento só no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1496;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Inicial com documento com mais de uma página (Parâmetro 51529 = N) – Será mostrado por página no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1497;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Inicial com mídia;;FABRICIO;ITEM DESABILITADO;;;;
1498;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Intermediária;;FABRICIO;ITEM DESABILITADO;;;;
1499;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Intermediária com documento com mais de uma página (Parâmetro 51529 = S) – Será mostrado em um documento só no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1500;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Intermediária  com documento com mais de uma página (Parâmetro 51529 = N) – Será mostrado um arquivo por página no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1501;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Intermediária sem envio de documento (utilizar os tipos de petição 182, 211 e 210);;FABRICIO;ITEM DESABILITADO;;;;
1502;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição Intermediária com mídia;;FABRICIO;ITEM DESABILITADO;;;;
1503;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição em Lote atrvés do Pelo Gerenciador de Arquivos;;FABRICIO;ITEM DESABILITADO;;;;
1504;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar Petição pelo Editor de Textos atrvés da opção de Finalizar, Assinar e Peticionar;;FABRICIO;ITEM DESABILITADO;;;;
1505;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar sinalização de Redistribuir na próxima intimação (Atividade no Fluxo de Trabalho) - Marcar Redistribuir na próxima intimação (verificar colocação da tarja no cadastro e mudança na atividade) ;;FABRICIO;ITEM DESABILITADO;;;;
1506;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Efetuar sinalização de Cancelamento da Redistribuir na próxima intimação (Atividade no Fluxo de Trabalho) - Marcar Cancelar Redistribuição na próxima intimação (verificar retirada da tarja no cadastro e mudança na atividade) ;;FABRICIO;ITEM DESABILITADO;;;;
1507;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Verificar se ao peticionar finalizou apenas UMA pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1508;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;Verificar se ao peticionar finalizou apenas DUAS ou TODAS as pendência de Manifestação;;FABRICIO;ITEM DESABILITADO;;;;
1509;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 1º grau;"Efetuar peticionamento com mídias
Documentos: PDF (Tamanho máximo = 11MB)
Áudio: MP3, WMA e WAV (Tamanho máximo = 250MB) – Peticiona somente em Iniciais!
Imagens: JPEG, JPG e PNG (Tamanho máximo = 11MB)
Videos: MP4, WMV, MPG e MPEG (Tamanho máximo = 250MB).";;FABRICIO;ITEM DESABILITADO;;;;
1510;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Inicial;;FABRICIO;ITEM DESABILITADO;;;;
1511;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Inicial com documento com mais de uma página (Parâmetro 51529 = S) – Será mostrado em um documento só no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1512;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Inicial com documento com mais de uma página (Parâmetro 51529 = N) – Será mostrado por página no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
1513;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Inicial com mídia;;FABRICIO;ITEM DESABILITADO;;;;
1514;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Intermediária;;FABRICIO;ITEM DESABILITADO;;;;
1515;INTEGRAÇÃO;Integração - EPROC;Peticionamento - EPROC - 2º grau;Efetuar Petição Intermediária com documento com mais de uma página (Parâmetro 51529 = S) – Será mostrado em um documento só no EPROC;;FABRICIO;ITEM DESABILITADO;;;;
